romdasSpikes,calcSpikesY,calcSpikesX,calcSpikesZ,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,speed,gpsSpeed
1614,24,0,47,4.42,0.083887649,0.059034077,8.80E-08,8.94E-08,0.10075004,0.110557493,3.20790353,1.380211242,48.46455,19.36389953
1332,16,0,30,4.09,0.071836403,0.05956058,7.24E-08,7.15E-08,0.052671973,0.047921008,3.124504225,1.204119983,48.03193,13.45020345
1299,20,0,38,4.05,0.074153216,0.064061886,6.06E-08,4.99E-08,0.06659456,0.064965829,3.113609151,1.301029996,45.01108,12.56118995
1039,21,0,31,3.75,0.074772946,0.059387478,7.45E-08,8.04E-08,0.061582716,0.067359916,3.016615548,1.322219295,43.43105,12.54111426
2347,35,0,50,5.27,0.082520729,0.073500979,1.85E-07,2.26E-07,0.074828109,0.099569316,3.37051309,1.544068044,32.57866,8.329034578
3241,43,0,71,6.3,0.096707425,0.084588916,1.16E-07,1.41E-07,0.129543196,0.145114573,3.510679031,1.633468456,31.39701,17.16794686
1822,22,0,38,4.66,0.094524767,0.106946705,9.96E-08,1.02E-07,0.124921098,0.156809434,3.260548373,1.342422681,45.35276,75.57776604
1572,18,0,45,4.37,0.064291462,0.054522642,7.54E-08,8.48E-08,0.093463636,0.088694795,3.196452542,1.255272505,46.82217,28.0651951
1148,18,0,33,3.88,0.066887529,0.054896456,1.11E-07,1.38E-07,0.078195504,0.113301986,3.059941888,1.255272505,48.22147,36.88679909
1617,26,0,36,4.42,0.088274538,0.066270675,5.84E-08,6.18E-08,0.069886205,0.066974092,3.20871002,1.414973348,49.37295,29.2057334
1603,30,0,42,4.4,0.097885041,0.077142099,1.03E-07,1.16E-07,0.095804211,0.115566302,3.204933522,1.477121255,47.85392,28.90275346
2137,29,0,56,5.02,0.075309734,0.060020054,1.28E-07,1.65E-07,0.069198059,0.065850929,3.329804522,1.462397998,29.09501,16.11824311
2270,28,0,73,5.18,0.059382318,0.0567076,1.57E-07,2.13E-07,0.057771758,0.063795434,3.356025857,1.447158031,19.02314,35.82239041
2082,41,0,60,4.96,0.084899207,0.066901563,8.40E-08,9.45E-08,0.084102035,0.088904919,3.318480725,1.612783857,30.50165,17.66573912
983,16,0,45,3.69,0.05765475,0.046779921,1.09E-07,1.09E-07,0.091559908,0.091949975,2.992553518,1.204119983,44.21159,19.0724331
1239,37,0,28,3.98,0.10396103,0.0651615,9.44E-08,1.32E-07,0.097514117,0.172009492,3.093071306,1.568201724,45.09156,7.500585807
1370,6,0,8,4.13,0.068867872,0.053357852,1.68E-07,1.26E-07,0.063587713,0.056001715,3.136720567,0.77815125,42.02905,9.741624451
2307,21,0,50,5.22,0.061219744,0.057284233,8.47E-08,8.86E-08,0.063974822,0.069408645,3.363047595,1.322219295,25.99422,16.64682239
3195,46,0,91,6.25,0.08937129,0.079507732,2.43E-07,2.63E-07,0.154364809,0.238482064,3.504470862,1.662757832,24.58207,10.7062312
2180,42,0,55,5.07,0.083423259,0.057724598,1.57E-07,1.81E-07,0.087601502,0.134991628,3.338456494,1.62324929,29.12,16.54511063
2306,42,0,58,5.22,0.111342227,0.08801527,1.06E-07,1.54E-07,0.155015908,0.212460287,3.362859303,1.62324929,38.50161,41.4316684
2936,54,0,69,5.95,0.174070578,0.151432576,1.92E-07,2.15E-07,0.185194836,0.237363702,3.467756051,1.73239376,39.3046,26.73575424
1916,24,0,56,4.76,0.075587122,0.066976287,6.50E-08,6.99E-08,0.097115932,0.077231669,3.282395505,1.380211242,40.65195,23.76937814
2744,27,0,125,5.73,0.034917871,0.030944421,6.09E-08,1.15E-07,0.031664916,0.024054724,3.438384107,1.431363764,4.299988,38.90773831
2452,45,0,71,5.39,0.077252906,0.06760891,9.18E-08,9.72E-08,0.070113317,0.068097143,3.389520466,1.653212514,24.97672,17.81582003
1955,25,0,64,4.81,0.067860424,0.062458226,8.49E-08,8.69E-08,0.088001702,0.083921585,3.291146762,1.397940009,31.13924,17.41356469
2590,39,0,90,5.55,0.08442062,0.0755158,1.73E-07,1.94E-07,0.125614655,0.161557513,3.413299764,1.591064607,26.61461,16.0926851
2767,58,0,73,5.76,0.09215374,0.064758877,1.01E-07,9.97E-08,0.075991005,0.072709267,3.442009159,1.763427994,27.42945,3.688648302
2023,37,0,61,4.89,0.081344819,0.074556357,1.21E-07,1.62E-07,0.066131401,0.070969917,3.305995883,1.568201724,27.23,10.46526093
1636,11,0,29,4.44,0.063853744,0.058973824,8.98E-08,8.65E-08,0.083135703,0.088312358,3.213783299,1.041392685,42.5839,5448.524537
1595,28,0,55,4.4,0.077063049,0.058847339,1.27E-07,1.55E-07,0.166474427,0.153454396,3.202760687,1.447158031,47.19894,32.38214081
1819,22,0,48,4.65,0.084936191,0.075261446,6.88E-08,5.54E-08,0.112541217,0.106235157,3.259832699,1.342422681,47.1703,30.36825518
1597,23,0,50,4.4,0.071750439,0.062536141,1.11E-07,1.22E-07,0.12587335,0.114803964,3.203304916,1.361727836,47.23257,25.62430609
1590,25,0,37,4.39,0.075558664,0.059333588,8.00E-08,8.79E-08,0.065548408,0.059486708,3.201397124,1.397940009,43.9415,28.87990952
2547,201,0,490,5.5,0.04046041,0.032992231,9.13E-08,9.74E-08,0.042676051,0.065054733,3.406028945,2.303196057,1.259821,4.376309186
2265,32,0,101,5.17,0.052816091,0.045673704,1.04E-07,1.23E-07,0.074770204,0.095488524,3.355068206,1.505149978,14.05683,210.7150648
1751,21,0,72,4.58,0.055140298,0.046031912,9.56E-08,9.97E-08,0.070995987,0.078628006,3.243286146,1.322219295,23.06947,29.48867421
3701,59,0,128,6.84,0.06103938,0.0572332,1.26E-07,1.65E-07,0.068055449,0.090469449,3.568319085,1.770852012,11.21983,279.4365779
3342,54,0,87,6.42,0.098648205,0.07560769,1.15E-07,1.13E-07,0.109012116,0.123892276,3.524006446,1.73239376,22.93266,14.34518214
3798,52,0,91,6.95,0.090797415,0.081755106,7.15E-08,7.21E-08,0.090188141,0.090482859,3.57955496,1.716003344,21.73227,13.52040161
3397,61,0,91,6.48,0.110050373,0.094683415,1.11E-07,1.16E-07,0.147749282,0.14757056,3.531095547,1.785329835,26.95687,15.96521679
2191,37,0,78,5.09,0.050170465,0.045236156,1.00E-07,1.19E-07,0.038728792,0.06291232,3.340642378,1.568201724,8.802846,164.9519756
3481,50,0,85,6.58,0.090368567,0.077513379,1.03E-07,1.05E-07,0.089170899,0.090522553,3.541704023,1.698970004,24.31356,131.3303009
2271,28,0,44,5.18,0.093261549,0.071139254,7.73E-08,8.54E-08,0.091452533,0.098141381,3.356217134,1.447158031,34.76659,1381.888055
1840,34,0,58,4.68,0.081602055,0.062165655,9.07E-08,9.21E-08,0.10940052,0.107820729,3.264817823,1.531478917,35.74283,22.32758325
1606,14,0,51,4.41,0.056518793,0.043595402,7.08E-08,7.75E-08,0.071601125,0.075035138,3.205745541,1.146128036,36.59265,23.18342834
1963,30,0,65,4.82,0.082327061,0.057176662,8.56E-08,8.31E-08,0.082049573,0.070215662,3.2929203,1.477121255,35.13454,21.54945006
3043,101,0,100,6.08,0.051309177,0.041778564,8.46E-08,1.27E-07,0.027307182,0.044162461,3.483301952,2.004321374,4.218425,35.47595734
1847,30,0,68,4.69,0.075166615,0.074611577,8.62E-08,8.74E-08,0.071367759,0.068430889,3.266466895,1.477121255,28.38968,19.9143125
4132,67,0,344,7.34,0.047221788,0.047104377,8.10E-08,9.27E-08,0.067961268,0.080229331,3.616160313,1.826074803,3.516234,38.01346032
1293,17,0,44,4.05,0.057772822,0.04543075,7.39E-08,8.62E-08,0.068917833,0.081247736,3.111598525,1.230448921,36.92331,23.43781071
1708,17,0,54,4.53,0.062376936,0.065386754,1.27E-07,1.10E-07,0.091957867,0.096460412,3.232487866,1.230448921,39.99744,23.52568617
1546,19,0,48,4.34,0.071174023,0.07293242,8.95E-08,8.23E-08,0.096369741,0.118341261,3.18920949,1.278753601,38.51843,22.62512879
2094,30,0,61,4.97,0.042021049,0.042938746,1.05E-07,1.36E-07,0.035027782,0.064289463,3.320976677,1.477121255,10.13229,64.71938661
3798,64,0,73,6.94,0.143578069,0.128783188,1.10E-07,1.06E-07,0.111126702,0.112134361,3.57955496,1.806179974,30.33621,17.11141665
1163,17,0,39,4.01,0.070192676,0.040354397,6.70E-08,6.09E-08,0.065089798,0.062598716,3.065579715,1.230448921,39.16737,28.21313226
1694,17,23,0,4.51,0.059509275,0.039537663,96.23738352,88.98031542,8.97E-09,7.94E-09,3.228913406,1.230448921,28.31581,12.03540634
1461,23,10,0,4.24,0.05771172,0.051073927,64.03063756,52.24019986,5.90E-09,6.27E-09,3.164650216,1.361727836,28.58815,23.51843497
1303,10,12,0,4.06,0.044633231,0.039388521,54.55901238,53.25490416,5.95E-09,6.98E-09,3.114944416,1,30.83205,20.05945454
1502,18,2,0,4.29,0.062368484,0.03724423,43.06160271,38.69671734,3.86E-09,3.07E-09,3.176669933,1.255272505,33.64923,17.72098187
1026,14,12,0,3.74,0.053074479,0.046694153,72.77319434,61.63752988,6.25E-09,6.77E-09,3.011147361,1.146128036,40.63288,23.09311519
963,11,15,0,3.66,0.047971551,0.041816697,78.35425663,62.10872801,8.40E-09,8.16E-09,2.983626287,1.041392685,43.29777,25.4875379
740,4,1,0,3.41,0.04178971,0.03200473,37.11633431,34.74407671,3.94E-09,3.37E-09,2.86923172,0.602059991,45.76267,25.9057791
747,9,9,0,3.41,0.04909874,0.037888435,60.2277947,65.15242674,5.81E-09,5.91E-09,2.873320602,0.954242509,47.28694,28.00121971
1318,23,22,0,4.08,0.07324888,0.059213043,87.76816908,71.31304102,8.50E-09,5.75E-09,3.11991541,1.361727836,39.03063,26.52666094
846,12,5,0,3.53,0.059472389,0.049196156,67.88674636,54.14659075,6.47E-09,4.97E-09,2.927370363,1.079181246,44.93259,23.45073922
1157,15,42,0,3.89,0.056251727,0.04303171,135.4435262,112.4062989,1.15E-08,1.17E-08,3.063333359,1.176091259,33.19581,21.86382967
1092,4,3,0,3.81,0.040315591,0.028306171,39.55194832,35.87064985,5.06E-09,4.47E-09,3.038222638,0.602059991,35.16841,19.99830337
821,3,9,0,3.5,0.042413896,0.033875809,48.23198348,47.0502204,6.28E-09,5.64E-09,2.914343157,0.477121255,41.78107,25.85907673
840,10,5,0,3.52,0.051824408,0.037318785,42.58420061,42.04752526,5.45E-09,4.81E-09,2.924279286,1,41.94689,22.93274222
651,13,9,0,3.3,0.054076815,0.037719155,57.18762103,52.04325104,7.11E-09,5.94E-09,2.813580989,1.113943352,43.32965,26.96063365
677,12,17,0,3.33,0.049149864,0.044908103,90.38037718,79.82197175,9.09E-09,8.93E-09,2.830588669,1.079181246,44.77316,23.3317918
801,8,11,0,3.47,0.049179218,0.03865524,69.89823517,78.34982598,6.02E-09,4.97E-09,2.903632516,0.903089987,44.26526,30.52131833
877,11,19,0,3.56,0.061194473,0.04856176,100.1208237,90.28983269,8.34E-09,7.47E-09,2.942999593,1.041392685,45.64843,88.07337412
981,12,19,0,3.68,0.055298265,0.042381755,95.00133825,92.80476339,9.48E-09,8.92E-09,2.991669007,1.079181246,42.79707,27.35008106
855,21,6,0,3.54,0.066634013,0.054165829,52.22960295,46.88081343,5.11E-09,5.05E-09,2.931966115,1.322219295,43.43342,22.71850972
946,17,11,0,3.64,0.061738657,0.046345494,74.34340459,95.13016592,6.79E-09,7.32E-09,2.975891136,1.230448921,45.53322,21.44371865
654,5,6,0,3.31,0.040555161,0.037268445,68.16353317,67.40116617,8.06E-09,8.01E-09,2.815577748,0.698970004,47.81795,28.05781967
660,6,9,0,3.31,0.054869211,0.034716258,70.2159047,56.45932079,5.92E-09,5.01E-09,2.819543936,0.77815125,48.51104,25.79953718
667,15,7,0,3.32,0.060368779,0.040669783,67.20493138,77.44344039,8.16E-09,7.60E-09,2.824125834,1.176091259,44.81137,25.01704199
1021,11,26,0,3.73,0.053453827,0.05012148,103.2836055,90.84124204,1.04E-08,1.14E-08,3.009025742,1.041392685,39.8401,26.21361448
918,9,2,0,3.61,0.05491866,0.04867738,38.36194273,34.77502586,2.75E-09,2.27E-09,2.962842681,0.954242509,42.30988,24.8835962
818,13,2,0,3.49,0.058454895,0.040581055,33.37870621,33.20433714,3.81E-09,3.35E-09,2.912753304,1.113943352,45.64855,24.25563098
